nome,sexo,id,origem,idade,salario,credito,tempo,regiao,estadocivil,educacao,nprodutos,pagamento,maxatraso
ANTONIA B.,feminino,pl86vfkf6vf0u2plk1jgmgn6t78kaz,9549613646,52.0,94876.0,678.6,90,sudeste,divorciado(a),médio,1,cartão de crédito,0
TEREZA N.,feminino,azalp855cmdi3qegkcjiem6t4n5uwd,,34.0,62602.0,587.6,46,sul,separado(a),graduado,0,cartão de crédito,6
CLAUDIA W.,feminino,ddr0s3lhzevlef1f7sfe5swbggzaa7,,32.0,55842.0,466.9,70,nordeste,solteiro(a),médio,0,cartão de débito,12
LUANA I.,feminino,gxgwlsu7lcmj2ec98g125he6nbtvw3,,26.0,45197.0,273.6,25,sudeste,solteiro(a),fundamental,2,cartão de crédito,6
LETICIA M.,feminino,iwvkbmhq0en45un84evlrif0q2hhsf,9093267839,36.0,54692.0,397.5,32,sudeste,casado(a),fundamental,3,boleto,13
ELIAS B.,feminino,c1cm72q3ivnjjob1wt4uswdgzhrbct,0625919656,32.0,47657.0,504.4,20,nordeste,solteiro(a),fundamental,3,cartão de crédito,0
VITORIA G.,feminino,2zwngj6xenmhpz9t1rz660zf2bwuhi,2774536635,34.0,55621.0,558.2,35,nordeste,divorciado(a),outros,1,cartão de débito,0
PATRICIA F.,feminino,56h2fz7z7kavfzb0mk0diuf31r6b1v,,31.0,28457.0,537.5,20,nordeste,divorciado(a),graduado,2,cartão de débito,6
GABRIEL I.,feminino,wpt3d41n5i7j7wl0dt3dje9p3lhs3q,,43.0,35005.0,582.3,37,sudeste,separado(a),fundamental,0,cartão de débito,0
LUANA G.,feminino,8uw574fnarifxiduve9d508llfz7g7,3008006223,39.0,49173.0,737.7,59,sul,divorciado(a),médio,3,pix,2
PATRICIA R.,feminino,ko39dnb2krqcvd07f9h500gh7u8vjg,9810690426,27.0,59891.0,,50,sudeste,solteiro(a),médio,0,transferência,0
MANOEL T.,feminino,xcl2sldibt2r43bonqv1n4besc9fjc,2043578683,34.0,47906.0,534.0,41,sudeste,casado(a),fundamental,0,cartão de crédito,0
RITA V.,feminino,n6p1k1nc152aivl7t9n6lqm0m8teo3,,37.0,71051.0,453.6,71,sudeste,separado(a),,2,cartão de débito,1
MARLENE C.,feminino,3zmlil2egqrf8gqdq1ejtjh6mc6lea,1783575454,41.0,30823.0,392.7,40,sudeste,casado(a),fundamental,1,cartão de crédito,0
JOSEFA S.,feminino,a6nag8hvj9osd8wvnrrkq085qe1j65,,39.0,88839.0,398.1,29,sudeste,solteiro(a),graduado,2,cartão de débito,10
CAMILA N.,feminino,amiao66g5fkt4ib3a5ldg2zewgs0qb,7574411304,,58646.0,499.7,28,centro-oeste,casado(a),médio,0,cartão de crédito,6
ELIAS S.,feminino,0tem4zwk3kgbzhuswzc1vnjadt0cau,3327984766,46.0,36440.0,592.2,35,nordeste,casado(a),médio,1,cartão de crédito,0
ELIAS Z.,feminino,31x4c8td870nnfnlt3zxxadjwcm3hl,,45.0,97442.0,494.6,37,sudeste,solteiro(a),médio,1,cartão de crédito,12
MARCIA G.,feminino,oir2fb6de6nned7id60upm3afrdlvd,0681384392,43.0,88295.0,670.6,31,sudeste,separado(a),graduado,1,boleto,2
JESSICA A.,feminino,0wimuw11p4s42m2w1nkupw1cu49nh9,6570081183,33.0,45821.0,316.3,42,centro-oeste,solteiro(a),pós-graduado,1,pix,16
BRUNA O.,feminino,d5jb4j7q3zwlk27pc6r47u9ttfdjma,6078234494,33.0,64541.0,298.8,26,norte,casado(a),fundamental,2,boleto,9
JOSE Q.,feminino,3r6gm7ikju8rw1x5kokluvrtkuz3qk,5117118052,32.0,43765.0,559.6,13,centro-oeste,separado(a),fundamental,1,cartão de crédito,6
DEBORA S.,feminino,ztikuh8s50ig88wmc52cdss4lzsn36,7177677730,29.0,31666.0,534.4,13,sudeste,divorciado(a),fundamental,2,boleto,7
SUELI H.,feminino,2chnk1dd7tzcczq9wv3nihjnhozi3h,6456852163,47.0,67281.0,,24,sudeste,casado(a),fundamental,1,cartão de débito,15
LUIZ M.,feminino,qwxsa4ds6osnwgzbgmob1sew551kau,6787576378,54.0,47270.0,869.8,18,sudeste,casado(a),,1,cartão de crédito,7
MARCIA X.,feminino,e66huga4uwwjjt2jrc2341lje8ixsu,5678569021,43.0,60097.0,600.9,44,sudeste,solteiro(a),fundamental,3,cartão de débito,7
JULIA C.,feminino,x1jv15n244e6zxkqmjsf0ptz72kawm,,34.0,35759.0,600.7,28,sudeste,separado(a),pós-graduado,5,cartão de crédito,8
JESSICA X.,feminino,5khlhb7opllnwbt0i9n43txafm6k6v,,29.0,36264.0,369.8,26,sudeste,casado(a),outros,0,cartão de crédito,6
ELIANE C.,feminino,x4aa7dbmfwx7n55s2bn1pavwf3tpfp,,,46448.0,624.6,19,sudeste,solteiro(a),fundamental,1,cartão de crédito,0
SONIA O.,feminino,u0721enf0ap4m7n27s37d7nnko1x9c,7585908553,33.0,70735.0,406.1,32,norte,viúvo(a),fundamental,0,cartão de crédito,17
ROSA F.,feminino,nzzf1nwhkskakhifmgo5is4j8kwh5b,7099826452,43.0,47963.0,420.9,78,centro-oeste,separado(a),fundamental,0,cartão de crédito,10
SANDRA N.,feminino,z45i583flsr32bb2tca4kqsg34k7sl,,29.0,60568.0,665.3,26,nordeste,casado(a),pós-graduado,1,cartão de crédito,6
TEREZINHA Z.,feminino,pnz5qxfe70pv57b66elak7twlk20wd,2927614121,,67915.0,393.6,24,nordeste,casado(a),médio,1,boleto,0
SONIA E.,feminino,4vv4zubhoto2n48bqggwqx10uq9mfi,6677305703,23.0,74251.0,360.9,32,centro-oeste,separado(a),fundamental,0,pix,3
ERICA V.,feminino,i5wqsvobgjowp4hl0dpbhobr6xzhu5,6274393439,43.0,84383.0,499.8,51,sudeste,solteiro(a),médio,0,cartão de débito,13
JOSEFA C.,feminino,9dcqo9699bl0r9g0xhc2p078pa94c0,,23.0,34659.0,484.6,16,nordeste,solteiro(a),graduado,2,cartão de crédito,13
MARCIA Q.,feminino,kzq5j6m3rnsmqjjkim2fdpqq53seo8,9748236867,,40019.0,455.4,27,sudeste,solteiro(a),médio,2,pix,1
JESSICA R.,feminino,mhtdlhtzgpuqhceit63bv1tdof56h0,5863904836,28.0,24988.0,393.3,14,nordeste,casado(a),fundamental,0,cartão de débito,10
LETICIA A.,feminino,9xv9d5gw8idm09ihsptw19sl4qsvpe,0667209493,45.0,70077.0,602.8,28,sudeste,casado(a),fundamental,0,boleto,15
FERNANDA C.,feminino,0x6q4x2d8jiq5eadv3j7ss2bxzrhn0,0258752774,37.0,48645.0,494.0,24,centro-oeste,casado(a),médio,1,cartão de crédito,6
ELIANE H.,feminino,jvlsxvix80rvcvqorgelicrnbannlj,1574017947,25.0,70493.0,397.8,21,sudeste,solteiro(a),outros,2,pix,17
AMANDA D.,feminino,u4hq36lkmusa51f27wlg68df939r7r,,23.0,57944.0,284.5,46,sudeste,separado(a),fundamental,0,cartão de crédito,0
ANA T.,feminino,aoi809vw65fngw0ebc1lee3xfenpj0,6562089557,46.0,78784.0,782.7,31,centro-oeste,solteiro(a),,0,boleto,0
CLAUDIA R.,feminino,g44ux5kqjs0ppnhk8b1zbwtoumc4h9,2711087941,33.0,31819.0,618.1,21,sudeste,divorciado(a),,1,pix,0
LETICIA L.,feminino,rfv0xozbkorow1objjspia7kgz3e3c,,45.0,63367.0,649.1,60,centro-oeste,solteiro(a),médio,1,pix,13
MARIANA C.,feminino,cd2lfs0okc5dt6ecd95gu6bo8wpe6j,8292660126,50.0,61452.0,739.9,39,sudeste,solteiro(a),fundamental,0,boleto,7
LUIZA J.,feminino,t8557ehnezsljnmmdem5a9eaag6mvl,8027714589,,65872.0,602.6,31,nordeste,solteiro(a),médio,3,pix,0
JULIANA Q.,feminino,g2izfc7gzdizsveu3vd36gglb6n0cp,8261800385,,53717.0,346.3,77,norte,casado(a),graduado,1,cartão de débito,3
ELIANE G.,feminino,hw7thpa0gu84uflp2vidjx3itpnwxg,5279358245,21.0,109008.0,332.4,43,nordeste,solteiro(a),graduado,1,cartão de crédito,1
JAQUELINE D.,feminino,n995i4va4tnpz8r0lxgxguhgn95ev9,5857586971,30.0,58210.0,528.8,22,nordeste,casado(a),pós-graduado,4,boleto,0
JULIA V.,feminino,t872srlggxl4qc6o6k6teu7lcz3ruk,5985854763,43.0,53881.0,538.6,33,centro-oeste,solteiro(a),pós-graduado,2,cartão de débito,0
MARLENE D.,feminino,6fd74j602ivlj52vaj810n8t90su6g,,41.0,125955.0,492.4,26,sudeste,casado(a),pós-graduado,2,boleto,4
DANIELA A.,feminino,vm9tewedkurtbmrr71vwbd1mm2pwwm,3762089139,52.0,26452.0,797.3,34,sudeste,solteiro(a),fundamental,1,cartão de crédito,5
ELIAS F.,feminino,21xupb52dd6segbqm0eelh4ilqc736,,39.0,84666.0,539.3,23,sudeste,solteiro(a),médio,0,cartão de crédito,15
LUANA Z.,feminino,bvb5pq3g0zjvejofb5xf82iupxhvbb,,24.0,50684.0,587.5,25,nordeste,separado(a),fundamental,2,cartão de débito,11
ROSA D.,feminino,z8wo19h1plgnr9c15xcr44foipzqnh,4501540351,36.0,45211.0,582.5,17,sudeste,divorciado(a),fundamental,2,transferência,1
ERICA E.,feminino,oj5fsmtm6v79da412st5n1vc68ekw0,7261144982,29.0,56850.0,551.7,43,norte,casado(a),fundamental,1,pix,4
GABRIEL Q.,feminino,4ui0c5tikofsqwppwpr5qo6tuhvibb,5582805936,,64481.0,458.7,53,sudeste,viúvo(a),médio,0,cartão de débito,9
MANOEL X.,feminino,uuj7qfg1jh6nh59ofiwoasziulj1wg,,26.0,49532.0,514.7,28,sudeste,casado(a),,1,cartão de crédito,4
SUELI O.,feminino,s6xb4n2sg4r0inncbe11dck4i1w7jg,6216903282,32.0,78239.0,359.0,29,norte,casado(a),fundamental,0,cartão de débito,4
NATALIA S.,feminino,f4lg0zgv3ee1b79j66ld9qimptptdv,,,50148.0,382.7,79,sudeste,solteiro(a),fundamental,1,transferência,2
CAMILA V.,feminino,bdqemf6hj4iu4vwilmgidot7w07777,,29.0,69099.0,278.7,30,centro-oeste,separado(a),fundamental,3,transferência,7
NATALIA R.,feminino,xn5dhu4dmhjs4nhdpcs2soec3ghvaa,,26.0,31828.0,229.0,21,sudeste,casado(a),,1,pix,12
NATALIA V.,feminino,cnrohmv1rmkthgwsc9qcgn4sh5xt57,0903439832,31.0,62545.0,628.1,67,sudeste,viúvo(a),fundamental,0,cartão de crédito,0
TAIS O.,feminino,60zcub2p5c3wdt5zmahmjgc29c95p7,5457206929,25.0,33967.0,633.3,38,norte,solteiro(a),,1,pix,4
SANDRA O.,feminino,2xfs12u6guxp308vp3s9gg0e7nbp9f,4084363030,39.0,65636.0,410.8,29,nordeste,viúvo(a),outros,0,cartão de crédito,0
BRUNA X.,feminino,c1h4qiiapg330ba01ze04q8nkenpb0,2337188611,47.0,42720.0,,41,norte,solteiro(a),fundamental,1,cartão de débito,9
TEREZA B.,feminino,8qgqbkoj9gukvplstkppww2xpqufwo,0750384977,,81189.0,,25,sudeste,solteiro(a),fundamental,2,boleto,0
BEATRIZ C.,feminino,akk98qdka20x6fbbbetkpj0sxjcigm,5799860509,28.0,43037.0,477.5,62,nordeste,solteiro(a),,2,cartão de débito,0
ANA Z.,feminino,09h8rzla93sep1kh1gdoccsnpux9rd,2750090820,38.0,63779.0,548.1,69,sul,casado(a),,0,cartão de débito,0
JOSEFA R.,feminino,rr7b585jtvb8zplawkhtlgh8bipk73,3043288811,29.0,38344.0,318.0,45,centro-oeste,divorciado(a),fundamental,3,cartão de crédito,4
DANIELA A.,feminino,n3420d6doaul7tfnam5ap7vc4pqh96,5276136665,42.0,48734.0,650.8,49,nordeste,separado(a),fundamental,1,cartão de débito,3
ROSA V.,feminino,xkmbdmfdjhpoaqrgqx79lb6l76i1xh,5937667830,43.0,74974.0,665.5,27,sudeste,viúvo(a),,2,pix,0
RENATA P.,feminino,z0uctd7kg8739vvhh2k273bprugi0v,1424401913,26.0,45943.0,428.4,27,norte,separado(a),outros,2,cartão de débito,9
LARISSA P.,feminino,1av2o6c3hxctcjh27pbn3afc5que3x,0248949421,32.0,29128.0,690.3,27,sudeste,separado(a),graduado,0,pix,0
ALESSANDRA G.,feminino,61t83715fu2cr1g7440mbnrzndik0d,,42.0,72596.0,715.5,28,nordeste,solteiro(a),graduado,1,cartão de crédito,4
LUIZ V.,feminino,vo0c3ei0izqzrakeqvllzg5a5b8qzw,1252393435,,36268.0,602.9,20,centro-oeste,solteiro(a),fundamental,1,cartão de débito,4
ROSANGELA R.,feminino,t1i844oeu33t3v0ahowe6fwu7j23li,0672193441,,51939.0,647.1,23,sul,casado(a),médio,0,cartão de débito,6
LUCIANA T.,feminino,wx1x6thu2kpxgklh7lf7gik1dxozel,8551455212,46.0,53936.0,787.9,30,nordeste,divorciado(a),graduado,2,transferência,5
FERNANDA R.,feminino,geqtktgm3b40okj3r1dzzlg5nx8ov7,,41.0,41327.0,462.4,16,sudeste,casado(a),médio,2,cartão de crédito,0
TEREZA G.,feminino,ix5wh0v4vfzuqdq2wfveuc4mgkn0w3,4614461928,20.0,35732.0,507.7,21,sul,divorciado(a),outros,0,cartão de débito,20
CLAUDIA H.,feminino,mloh73l9f76vn6ox9n9gat0v57s7ga,7415019589,55.0,62258.0,605.7,48,nordeste,divorciado(a),,0,pix,0
DEBORA X.,feminino,gq292vnb43hpil0eeal4kdhssp1nvj,5267899509,28.0,61241.0,433.3,22,sudeste,casado(a),fundamental,2,cartão de crédito,4
LETICIA G.,feminino,tnzv4cq25zu18i9rh576acx1rpu5ee,5645722014,27.0,51348.0,542.9,45,sudeste,divorciado(a),fundamental,5,cartão de crédito,0
ANA L.,feminino,rtpx160jw6ieffgr52c4wsi5c4nfxe,3000275189,36.0,86829.0,355.7,25,sudeste,separado(a),médio,3,cartão de débito,0
JESSICA W.,feminino,0gl0z07d3tlgngrnemflev0j4iwr0e,5971029416,55.0,95868.0,629.8,31,sudeste,solteiro(a),fundamental,0,cartão de débito,0
FERNANDA L.,feminino,24pzkox99r7fre6lb82sg21x1th7rr,,27.0,51296.0,239.1,34,sudeste,separado(a),graduado,0,pix,12
FRANCISCA S.,feminino,wwr02mvqoeks2jjp90rogeh93dulv6,1569888693,,96825.0,909.2,48,centro-oeste,solteiro(a),fundamental,2,cartão de débito,18
CAMILA Q.,feminino,fqk42z0kf2aiwppmjn8cv1lkz0auxr,7111683607,62.0,77550.0,562.7,43,sudeste,separado(a),fundamental,3,cartão de débito,20
LUCIANA U.,feminino,tdr07xjlgukatqkx30usp2ofl7mqsn,3352853181,30.0,29995.0,437.1,24,sudeste,casado(a),fundamental,1,cartão de crédito,0
VANESSA V.,feminino,xicvwdfnvu2cx7d7llorrcz8ig388z,2253301084,35.0,83115.0,341.2,32,nordeste,casado(a),fundamental,1,cartão de débito,0
SONIA J.,feminino,0h540wjvqzum7v55vhbj5i5gqv2pe6,0133946104,43.0,97691.0,518.3,36,sudeste,divorciado(a),graduado,1,cartão de crédito,6
DANIELA H.,feminino,rmhk23j83iml2ilwiild5lit82bldt,,44.0,61361.0,559.4,77,sudeste,casado(a),médio,1,boleto,7
BRUNA J.,feminino,zo25s8gp01eos70v004vtwuxvan1td,,36.0,81682.0,649.8,36,sudeste,solteiro(a),médio,0,pix,4
MARLENE O.,feminino,4d34wbcnqx26mzm22n64xid1k3vr01,9732209544,41.0,63024.0,663.5,30,nordeste,solteiro(a),fundamental,2,pix,0
DANIEL L.,feminino,9dtxqeil4otggzco3ki8wt0at2unvl,5896322923,47.0,55752.0,574.0,32,nordeste,casado(a),,2,cartão de crédito,0
TAIS H.,feminino,816gfmtnt4v3x2mo47soam7vzp4q8d,4280346469,36.0,34961.0,421.3,18,sudeste,casado(a),outros,0,pix,14
ROSA J.,feminino,twli57w8ljx8gf040bt8ghsmcosn0m,9842506049,40.0,44204.0,500.2,31,sudeste,solteiro(a),outros,3,cartão de crédito,0
BEATRIZ A.,feminino,fwpnzsd7f90h1lzmlx8c5li7cne2uo,,39.0,58608.0,557.7,28,sudeste,viúvo(a),,1,cartão de débito,19
RENATA X.,feminino,4tsredejmdn2dh9q5wsi0k1h754gig,1918320804,41.0,71856.0,546.4,49,nordeste,solteiro(a),fundamental,0,pix,0
JULIA Q.,feminino,ks8uzvtzvazdmjzksf4fteh23b5mxm,,20.0,51897.0,225.3,98,sudeste,casado(a),fundamental,0,cartão de débito,14
ANTONIA V.,feminino,9goab1qljoasc1999hl67t8v3jspql,2881089763,47.0,86138.0,697.2,31,sudeste,casado(a),,2,cartão de débito,0
ISABEL Q.,feminino,5ff71100l9q6gxi63rgdl72uht01zr,7382613359,38.0,64128.0,335.2,23,centro-oeste,solteiro(a),,2,boleto,0
CARLA V.,feminino,dwj6t5mvri7sfbun7wzo5cj50vhbvi,,33.0,53083.0,290.3,21,sudeste,casado(a),médio,3,pix,17
CARLA Q.,feminino,3dqo6u8pp6i1pwc0w0wmhpu2r5uj36,,53.0,94599.0,734.7,38,sudeste,solteiro(a),médio,2,cartão de débito,0
JOSEFA C.,feminino,odoo8ia7tn38a5w5v4jhe8i1ie0sk9,6846874075,32.0,53078.0,324.6,70,nordeste,casado(a),outros,0,pix,0
VITORIA H.,feminino,xe3zojfk5ktpzam50tsu8ancndgl57,8075770507,29.0,52707.0,350.4,61,sudeste,casado(a),médio,1,cartão de crédito,13
NATALIA X.,feminino,4boch1f4bh07hnihlnfvxmzr1w49nx,6946106520,34.0,30775.0,640.6,13,sudeste,divorciado(a),fundamental,1,cartão de crédito,0
MANOEL M.,feminino,3wpjv53uq80b69mwndajhrs5ckbol3,3949703200,42.0,52542.0,503.5,30,nordeste,casado(a),fundamental,2,pix,2
MARLENE A.,feminino,pw2vfbxhu4cm47s0k25ipk38gai51e,1470655806,38.0,84770.0,325.8,33,nordeste,casado(a),médio,2,cartão de débito,3
ELIANE T.,feminino,4a9pzjffq00sh2ztswsvab1m4uzat0,9420122262,25.0,33278.0,585.7,36,sudeste,solteiro(a),outros,5,cartão de crédito,6
AMANDA S.,feminino,9vn58i226br4u9j81icq8ms91egf8m,3053430195,29.0,64488.0,667.5,28,sul,solteiro(a),fundamental,2,cartão de crédito,0
PATRICIA L.,feminino,9apdhr14xeheo4xfj4a3isl5s7fcau,6326638235,34.0,57427.0,617.5,36,sudeste,divorciado(a),graduado,3,cartão de crédito,2
ANA K.,feminino,naxh35a1la4fuw8vghbc48b54x5t7e,4784933708,21.0,73697.0,398.2,48,sudeste,divorciado(a),médio,3,boleto,11
VERA I.,feminino,b17jnscn1bcrxpbfaqvvp9hs2tptdc,6923810202,38.0,61916.0,594.1,22,sudeste,casado(a),pós-graduado,1,cartão de débito,9
CLAUDIA G.,feminino,9maf7owrz5ef5jgvhfksu0xwf3ui7b,9230375657,32.0,25573.0,453.9,24,sudeste,solteiro(a),,1,cartão de débito,16
VANESSA X.,feminino,uqdtnagol2ipnle8zpmvhi8na40i32,,21.0,36966.0,220.7,41,sudeste,casado(a),médio,0,pix,6
ERICA T.,feminino,t9umejiu75oeq25ieeaevc0a6c2m90,,26.0,69574.0,625.7,28,sul,casado(a),outros,0,cartão de crédito,7
CARLA E.,feminino,i6rx9ab2sum12tf6jzjkjifn43h1oh,0252059872,34.0,82538.0,319.6,82,sudeste,solteiro(a),,4,cartão de débito,4
ELIANE E.,feminino,8w12t3zt20trd25s4z36apq5fon2qb,0119687941,35.0,51852.0,369.4,32,sudeste,casado(a),médio,2,pix,14
DANIEL I.,feminino,e7irhgdmipk835cg2m6h6oacdhgjqa,6382021094,24.0,27709.0,452.7,14,nordeste,solteiro(a),médio,1,cartão de débito,0
JULIA B.,feminino,nefhju0u4c9rip1cla5r9ig8eisxev,7206974888,42.0,68560.0,422.8,32,nordeste,casado(a),fundamental,0,cartão de crédito,6
CAMILA O.,feminino,288hgn2hlkvmv74jsgwvkh19axmafb,8845147207,,54694.0,709.9,32,sudeste,divorciado(a),outros,1,cartão de débito,1
TEREZINHA T.,feminino,vk8p5wahlua6kvuqdru36mg67nizqz,,34.0,43670.0,514.2,91,nordeste,solteiro(a),outros,4,pix,0
GABRIEL K.,feminino,6sfocxupu9x8gpt5riulfk5hn8csdt,3116278953,39.0,36420.0,678.6,23,sudeste,divorciado(a),graduado,2,boleto,0
ADRIANA P.,feminino,zfflge25rwc4z89sw93881gl6hhc7f,,35.0,37816.0,484.1,28,sudeste,casado(a),fundamental,0,cartão de crédito,8
BRUNA H.,feminino,nh9tntjv4429nxf10mabext7uxhzgl,9156411001,34.0,37425.0,313.6,42,sul,separado(a),fundamental,1,cartão de crédito,0
MANOEL G.,feminino,vvjwxgkonuc75gz7h1unt0znbep954,9077294252,39.0,57182.0,535.0,31,sudeste,casado(a),graduado,0,cartão de débito,0
CLAUDIA B.,feminino,ivjz0l4j473tcmkmr08ox144qo17jc,,23.0,58291.0,272.0,45,norte,divorciado(a),fundamental,1,cartão de débito,3
APARECIDA X.,feminino,t006cvbq33ngursdhrqv2t614mv1bf,9787052414,36.0,65191.0,562.9,25,norte,solteiro(a),fundamental,2,cartão de crédito,4
ROSA E.,feminino,bmdajijhpbpo1h12nlnvkhmnjnqu4e,7489260879,37.0,70291.0,530.6,34,sudeste,casado(a),graduado,3,cartão de crédito,14
DEBORA X.,feminino,wdgruq6lucltvii0r2r5eoj1t5bvx2,4235533441,26.0,71637.0,607.4,35,norte,solteiro(a),fundamental,3,transferência,0
JULIANA B.,feminino,0kthgtcsgrb8lwv9ozw9rsutvwu0gp,2188300182,31.0,94935.0,486.6,26,sudeste,casado(a),fundamental,0,boleto,11
BEATRIZ F.,feminino,764izkrbt376i2lllzq13kd8oeec3e,8690190200,,53300.0,680.3,22,nordeste,solteiro(a),médio,0,cartão de débito,1
GABRIEL O.,feminino,jsr617xnnc2falkzjdar8phe011n5d,0134820240,23.0,38553.0,494.5,11,sudeste,casado(a),graduado,3,cartão de débito,3
SONIA E.,feminino,tzwljtz6nuonpoqc1v8rpr8k90vaf5,,39.0,52178.0,374.8,67,sudeste,separado(a),,0,boleto,18
PATRICIA F.,feminino,6l1se0tbhm18xrvqc83gu33t25pmsk,,46.0,72778.0,653.7,32,sudeste,solteiro(a),pós-graduado,1,pix,0
VERA F.,feminino,cg9ckegnr1jtezaqd7klsdf7s9t659,2645767376,44.0,80795.0,626.4,36,nordeste,casado(a),graduado,3,cartão de débito,13
MARLENE M.,feminino,u4wqup7kd3vsf6abizf3dahezgceca,,27.0,39161.0,,31,sudeste,solteiro(a),graduado,2,cartão de crédito,0
RITA D.,feminino,1akrd8k58ccoz3dob4fr4h0q0h4vcs,5133192180,30.0,45482.0,578.3,22,norte,solteiro(a),graduado,0,cartão de débito,0
ANA I.,feminino,9fq0hw6sofpfg6gpkiqj0juip11umw,3330158062,29.0,59591.0,613.2,24,sudeste,solteiro(a),fundamental,1,cartão de crédito,0
TEREZINHA J.,feminino,rp5gedt886nre0zsgp0g2u2mdhjxjf,,37.0,48022.0,348.6,31,nordeste,casado(a),,1,cartão de débito,4
CARLA T.,feminino,xzizh9e6p43crz4eg4wagiveqjmei7,6956711663,37.0,31510.0,637.6,31,sudeste,casado(a),graduado,0,pix,0
JOSEFA M.,feminino,kxxmc3jd37pkq61o9fpordpui39l0v,8747853034,41.0,41200.0,367.4,40,sudeste,solteiro(a),fundamental,1,cartão de débito,14
ROSANGELA D.,feminino,9azbdqd2ndmjd0zhfmodvzl2zf66ru,,24.0,49962.0,,52,sul,casado(a),fundamental,1,cartão de crédito,8
JESSICA G.,feminino,qf5lwkbgcsw288b1h3rea34jlh1w19,3033321229,26.0,53892.0,266.6,19,centro-oeste,separado(a),fundamental,0,cartão de débito,14
NATALIA I.,feminino,7pelkbddq5wm2se78zt4dk83j2n8iu,4318549105,27.0,48619.0,,12,sudeste,solteiro(a),médio,0,boleto,7
DEBORA C.,feminino,rkrzaqoosaiu042p74cd19m9nqdz0m,3576159294,29.0,31892.0,658.2,22,sudeste,solteiro(a),fundamental,0,boleto,0
ANTONIA E.,feminino,0kr2f6q382smize63kc6axj7fdun9a,2033226517,23.0,39651.0,610.2,22,sudeste,viúvo(a),graduado,0,boleto,16
ANA S.,feminino,sosumzonln44uzkgxudb4wtt1o8ex4,,45.0,34109.0,627.3,79,nordeste,solteiro(a),médio,1,cartão de crédito,4
ERICA C.,feminino,brk0zlc31hvtewgg7bj5mvpn5kbs9z,8920675797,,35546.0,398.5,14,sul,casado(a),graduado,4,boleto,0
PATRICIA V.,feminino,3fndzq0hxqbmrow7bki5ka69hks7kv,2225018367,43.0,46453.0,508.2,30,sudeste,casado(a),fundamental,2,cartão de crédito,0
RENATA H.,feminino,mufthj96m01mugglx6uld3z4fg3bd2,0409251882,32.0,62018.0,351.0,66,sul,divorciado(a),graduado,1,boleto,9
VITORIA I.,feminino,cvlnq7pefg2hd422wqjaja1gw10ax4,4191884227,43.0,102539.0,,57,nordeste,separado(a),fundamental,0,cartão de crédito,14
ROSANGELA A.,feminino,sucu19jtz4c4qej6e0pfjdcx48t49f,,32.0,33145.0,376.6,48,centro-oeste,divorciado(a),graduado,2,cartão de débito,0
CLAUDIA O.,feminino,7iwnrrp8oiv5zqfwcn1hv2z71haclu,3511107143,35.0,48269.0,610.6,30,sudeste,solteiro(a),fundamental,4,cartão de débito,21
RITA U.,feminino,r07bgxav8wmbt597u65ic0pzua28in,6988508816,43.0,48611.0,,143,nordeste,separado(a),outros,1,pix,14
BEATRIZ S.,feminino,zh810n3e8936wkmrzec9gx6lthxogz,4786583238,32.0,73425.0,656.2,45,centro-oeste,casado(a),,2,cartão de débito,16
ISABEL D.,feminino,1kp63fevvtwc2zh8bvbw96q9522o0l,,37.0,49717.0,335.2,22,nordeste,casado(a),fundamental,2,pix,9
PATRICIA Z.,feminino,ax9se6jxbee0cf0kunth4qqamh2mqb,,39.0,53503.0,463.1,22,nordeste,solteiro(a),graduado,0,pix,0
GABRIEL D.,feminino,dhpndxwf6834ct821rlj4fn7wvu5jz,,50.0,61958.0,672.3,40,nordeste,solteiro(a),graduado,1,boleto,0
GABRIEL R.,feminino,0efl8v1xqdq08208re5wvcp732nhag,4144520752,42.0,75516.0,405.3,29,nordeste,separado(a),médio,2,cartão de crédito,0
SANDRA C.,feminino,sul8bs86k00k47vdjus5ajr7khc6ev,,49.0,63582.0,597.5,27,nordeste,separado(a),pós-graduado,1,pix,0
LETICIA C.,feminino,annvdf0zhh62vh47ljqar0t5c90rbi,5361677262,28.0,75061.0,482.6,46,sudeste,solteiro(a),fundamental,1,transferência,8
CARLA Q.,feminino,qi9idikk5l237l504no3o8tk9odv97,8061909875,36.0,44600.0,494.7,19,nordeste,divorciado(a),outros,2,cartão de crédito,0
LUCIANA T.,feminino,ns0ox1eigj6e1ibwwfu2aj9p97fhd5,,33.0,48615.0,650.7,54,sudeste,casado(a),,1,cartão de crédito,0
CLAUDIA U.,feminino,iao1aoqcljtr2uusosxa557he1bmib,5695389950,21.0,54676.0,512.8,69,nordeste,divorciado(a),,2,cartão de crédito,5
ALINE Z.,feminino,8lzw9hrqjw0c57w7rfrcka3vjg5vb1,3716491076,25.0,69007.0,297.7,89,nordeste,solteiro(a),outros,2,boleto,5
LUCIANA X.,feminino,enx7g389ausl61jfpq8d0j1mmoil2p,2094458815,33.0,79487.0,359.0,25,sudeste,solteiro(a),médio,1,boleto,0
ANTONIA L.,feminino,ktnkms64sw2qx5xac25aw2q10thaab,3055025960,22.0,50783.0,205.2,56,sudeste,casado(a),graduado,0,cartão de crédito,18
CAMILA S.,feminino,61bfi4rn71fprnmf3zpe5wz92zfs75,1357839813,28.0,40786.0,538.3,15,norte,casado(a),,0,boleto,0
